District,2022,2023,2024
نمار,1842714029,1512887903,3635344370
الخير,3622876204,3081260743,3831550185
عريض,1133696345,822373102,1480983136
الرمال,2531504782,1552510672,4400452445
النرجس,3232718994,4554793281,6040028881
الوسام,381067728,481067728,758370725
بدر,1025315345,778191355,987633292
السحاب,518873901,528873901,596773259
طويق,997560035,733073243,1227871819
الملقا,2126922092,3124965060,3555003584
الياسمين,1229641592,1526591602,2133919130
الندى,454592280,529343400,390742032
الحمراء,254050142,274050142,303210036
الريان,302616817,248808541,285162817
المحمدية,239081833,267790069,399449137
الملك فيصل,147114271,128675535,131290496
الازدهار,138874123,199109230,172210906
الروابي,153910693,152952646,172083715
المروج,251860701,252498697,240381977
القيروان,395789649,335179821,299658883
الجزيرة,62616008,67863797,100209720
الملك فهد,223406448,265195403,192623684
المغرزات,118298329,157570359,96940568
الشهداء,140107560,29082000,89166119
التعاون,227407314,193471071,108886251
الصناعية,48664846,38635000,97765874
الخزامى,176268940,87429871,235575742
الديرة,5694231,4675830,14885024
بنبان,4100000,10195000,6260000
الفلاح,351349180,72760602,
